method,size,time
FTPS,2048,2114.0
FTPS,2048,2048.0
FTPS,2048,3788.0
FTPS,2048,2152.0
FTPS,2048,2106.0
FTPS,2048,2141.0
FTPS,2048,2151.0
FTPS,2048,4981.0
FTPS,2048,5068.0
FTPS,2048,2267.0
FTPS,2048,2629.0
FTPS,2048,3204.0
FTPS,2048,3309.0
FTPS,2048,3297.0
FTPS,2048,2544.0
FTPS,2048,1997.0
FTPS,2048,2730.0
FTPS,2048,2014.0
FTPS,2048,2253.0
FTPS,2048,2137.0
ClassicalHuffman+FTP,2048,1149.0
ClassicalHuffman+FTP,2048,1165.0
ClassicalHuffman+FTP,2048,1136.0
ClassicalHuffman+FTP,2048,1196.0
ClassicalHuffman+FTP,2048,1125.0
ClassicalHuffman+FTP,2048,1128.0
ClassicalHuffman+FTP,2048,1222.0
ClassicalHuffman+FTP,2048,1192.0
ClassicalHuffman+FTP,2048,1226.0
ClassicalHuffman+FTP,2048,1146.0
ClassicalHuffman+FTP,2048,988.0
ClassicalHuffman+FTP,2048,1100.0
ClassicalHuffman+FTP,2048,1881.0
ClassicalHuffman+FTP,2048,1282.0
ClassicalHuffman+FTP,2048,1108.0
ClassicalHuffman+FTP,2048,1052.0
ClassicalHuffman+FTP,2048,1001.0
ClassicalHuffman+FTP,2048,2578.0
ClassicalHuffman+FTP,2048,1104.0
ClassicalHuffman+FTP,2048,1099.0
ClassicalHuffman+FTP,4096,1257.0
ClassicalHuffman+FTP,4096,1235.0
ClassicalHuffman+FTP,4096,1132.0
ClassicalHuffman+FTP,4096,3447.0
ClassicalHuffman+FTP,4096,1110.0
ClassicalHuffman+FTP,4096,1022.0
ClassicalHuffman+FTP,4096,1221.0
ClassicalHuffman+FTP,4096,1136.0
ClassicalHuffman+FTP,4096,1190.0
ClassicalHuffman+FTP,4096,1166.0
ClassicalHuffman+FTP,4096,1235.0
ClassicalHuffman+FTP,4096,1229.0
ClassicalHuffman+FTP,4096,2767.0
ClassicalHuffman+FTP,4096,1128.0
ClassicalHuffman+FTP,4096,1077.0
ClassicalHuffman+FTP,4096,1232.0
ClassicalHuffman+FTP,4096,1146.0
ClassicalHuffman+FTP,4096,1227.0
ClassicalHuffman+FTP,4096,1256.0
ClassicalHuffman+FTP,4096,1197.0
RankedFTP,4096,1300.0
RankedFTP,4096,1219.0
RankedFTP,4096,1033.0
RankedFTP,4096,1317.0
RankedFTP,4096,1105.0
RankedFTP,4096,1183.0
RankedFTP,4096,1200.0
RankedFTP,4096,1231.0
RankedFTP,4096,1156.0
RankedFTP,4096,1233.0
RankedFTP,4096,1225.0
RankedFTP,4096,1066.0
RankedFTP,4096,1055.0
RankedFTP,4096,1215.0
RankedFTP,4096,1093.0
RankedFTP,4096,1812.0
RankedFTP,4096,1028.0
RankedFTP,4096,974.0
RankedFTP,4096,1130.0
RankedFTP,4096,1216.0
FTPS,4096,3891.0
FTPS,4096,2048.0
FTPS,4096,2089.0
FTPS,4096,2151.0
FTPS,4096,2049.0
FTPS,4096,2082.0
FTPS,4096,2049.0
FTPS,4096,1960.0
FTPS,4096,2150.0
FTPS,4096,1884.0
FTPS,4096,2049.0
FTPS,4096,2150.0
FTPS,4096,2048.0
FTPS,4096,2149.0
FTPS,4096,1947.0
FTPS,4096,2070.0
FTPS,4096,2011.0
FTPS,4096,2148.0
FTPS,4096,2048.0
FTPS,4096,2129.0
FTPS,8192,2353.0
FTPS,8192,2352.0
FTPS,8192,2726.0
FTPS,8192,2459.0
FTPS,8192,2458.0
FTPS,8192,2490.0
FTPS,8192,2310.0
FTPS,8192,2563.0
FTPS,8192,2462.0
FTPS,8192,2663.0
FTPS,8192,2458.0
FTPS,8192,2556.0
FTPS,8192,2270.0
FTPS,8192,2354.0
FTPS,8192,2249.0
FTPS,8192,2611.0
FTPS,8192,2255.0
FTPS,8192,2765.0
FTPS,8192,2215.0
FTPS,8192,2972.0
RankedFTP,8192,1498.0
RankedFTP,8192,1551.0
RankedFTP,8192,1652.0
RankedFTP,8192,1532.0
RankedFTP,8192,1417.0
RankedFTP,8192,1438.0
RankedFTP,8192,1330.0
RankedFTP,8192,1552.0
RankedFTP,8192,1571.0
RankedFTP,8192,1240.0
RankedFTP,8192,2769.0
RankedFTP,8192,1542.0
RankedFTP,8192,1437.0
RankedFTP,8192,1497.0
RankedFTP,8192,1522.0
RankedFTP,8192,1382.0
RankedFTP,8192,2259.0
RankedFTP,8192,1553.0
RankedFTP,8192,1438.0
RankedFTP,8192,1528.0
ClassicalHuffman+FTP,8192,2435.0
ClassicalHuffman+FTP,8192,1681.0
ClassicalHuffman+FTP,8192,1531.0
ClassicalHuffman+FTP,8192,1500.0
ClassicalHuffman+FTP,8192,1568.0
ClassicalHuffman+FTP,8192,1436.0
ClassicalHuffman+FTP,8192,1332.0
ClassicalHuffman+FTP,8192,1332.0
ClassicalHuffman+FTP,8192,1295.0
ClassicalHuffman+FTP,8192,1222.0
ClassicalHuffman+FTP,8192,1398.0
ClassicalHuffman+FTP,8192,1471.0
ClassicalHuffman+FTP,8192,1438.0
ClassicalHuffman+FTP,8192,1410.0
ClassicalHuffman+FTP,8192,1397.0
ClassicalHuffman+FTP,8192,1511.0
ClassicalHuffman+FTP,8192,2015.0
ClassicalHuffman+FTP,8192,1229.0
ClassicalHuffman+FTP,8192,1750.0
ClassicalHuffman+FTP,8192,3015.0
ClassicalHuffman+FTP,16384,1517.0
ClassicalHuffman+FTP,16384,1442.0
ClassicalHuffman+FTP,16384,1502.0
ClassicalHuffman+FTP,16384,1416.0
ClassicalHuffman+FTP,16384,1438.0
ClassicalHuffman+FTP,16384,1566.0
ClassicalHuffman+FTP,16384,1541.0
ClassicalHuffman+FTP,16384,1387.0
ClassicalHuffman+FTP,16384,1522.0
ClassicalHuffman+FTP,16384,1498.0
ClassicalHuffman+FTP,16384,1565.0
ClassicalHuffman+FTP,16384,1538.0
ClassicalHuffman+FTP,16384,1538.0
ClassicalHuffman+FTP,16384,1491.0
ClassicalHuffman+FTP,16384,1538.0
ClassicalHuffman+FTP,16384,1541.0
ClassicalHuffman+FTP,16384,2255.0
ClassicalHuffman+FTP,16384,1456.0
ClassicalHuffman+FTP,16384,1471.0
ClassicalHuffman+FTP,16384,1537.0
RankedFTP,16384,1777.0
RankedFTP,16384,1423.0
RankedFTP,16384,1480.0
RankedFTP,16384,1500.0
RankedFTP,16384,1465.0
RankedFTP,16384,2991.0
RankedFTP,16384,1543.0
RankedFTP,16384,3061.0
RankedFTP,16384,1444.0
RankedFTP,16384,1444.0
RankedFTP,16384,1562.0
RankedFTP,16384,1443.0
RankedFTP,16384,1560.0
RankedFTP,16384,2468.0
RankedFTP,16384,1491.0
RankedFTP,16384,1454.0
RankedFTP,16384,1379.0
RankedFTP,16384,6418.0
RankedFTP,16384,3080.0
RankedFTP,16384,1579.0
FTPS,16384,3057.0
FTPS,16384,3847.0
FTPS,16384,2861.0
FTPS,16384,4102.0
FTPS,16384,5166.0
FTPS,16384,4283.0
FTPS,16384,2298.0
FTPS,16384,3669.0
FTPS,16384,3998.0
FTPS,16384,2523.0
FTPS,16384,3435.0
FTPS,16384,2866.0
FTPS,16384,3605.0
FTPS,16384,2562.0
FTPS,16384,2601.0
FTPS,16384,4134.0
FTPS,16384,6362.0
FTPS,16384,4060.0
FTPS,16384,8970.0
FTPS,16384,9532.0
FTPS,32768,6855.0
FTPS,32768,8664.0
FTPS,32768,6373.0
FTPS,32768,4851.0
FTPS,32768,7231.0
FTPS,32768,6742.0
FTPS,32768,4396.0
FTPS,32768,5616.0
FTPS,32768,4533.0
FTPS,32768,4877.0
FTPS,32768,2806.0
FTPS,32768,3071.0
FTPS,32768,3053.0
FTPS,32768,2873.0
FTPS,32768,3486.0
FTPS,32768,2933.0
FTPS,32768,3070.0
FTPS,32768,17151.0
FTPS,32768,3499.0
FTPS,32768,3131.0
RankedFTP,32768,1855.0
RankedFTP,32768,1870.0
RankedFTP,32768,8213.0
RankedFTP,32768,1960.0
RankedFTP,32768,2383.0
RankedFTP,32768,1855.0
RankedFTP,32768,1765.0
RankedFTP,32768,1863.0
RankedFTP,32768,1705.0
RankedFTP,32768,1793.0
RankedFTP,32768,2486.0
RankedFTP,32768,1722.0
RankedFTP,32768,1792.0
RankedFTP,32768,1806.0
RankedFTP,32768,1523.0
RankedFTP,32768,1780.0
ClassicalHuffman+FTP,32768,2400.0
ClassicalHuffman+FTP,32768,2054.0
ClassicalHuffman+FTP,32768,1948.0
ClassicalHuffman+FTP,32768,1684.0
ClassicalHuffman+FTP,32768,1843.0
ClassicalHuffman+FTP,32768,1772.0
ClassicalHuffman+FTP,32768,1700.0
ClassicalHuffman+FTP,32768,1848.0
ClassicalHuffman+FTP,32768,1847.0
ClassicalHuffman+FTP,32768,1626.0
ClassicalHuffman+FTP,32768,1745.0
ClassicalHuffman+FTP,32768,1682.0
ClassicalHuffman+FTP,32768,2955.0
ClassicalHuffman+FTP,32768,1737.0
ClassicalHuffman+FTP,32768,1744.0
ClassicalHuffman+FTP,32768,1907.0
ClassicalHuffman+FTP,32768,1742.0
ClassicalHuffman+FTP,32768,1537.0
ClassicalHuffman+FTP,32768,1785.0
ClassicalHuffman+FTP,32768,2295.0
ClassicalHuffman+FullEncryption,32768,2898.0
ClassicalHuffman+FullEncryption,32768,2589.0
ClassicalHuffman+FullEncryption,32768,3389.0
ClassicalHuffman+FullEncryption,32768,2597.0
ClassicalHuffman+FullEncryption,32768,3323.0
ClassicalHuffman+FullEncryption,32768,3042.0
ClassicalHuffman+FullEncryption,32768,3742.0
ClassicalHuffman+FullEncryption,32768,2566.0
ClassicalHuffman+FullEncryption,32768,3227.0
ClassicalHuffman+FullEncryption,32768,2970.0
ClassicalHuffman+FullEncryption,32768,4329.0
ClassicalHuffman+FullEncryption,32768,4882.0
ClassicalHuffman+FullEncryption,32768,3173.0
ClassicalHuffman+FullEncryption,32768,2933.0
ClassicalHuffman+FullEncryption,32768,3862.0
ClassicalHuffman+FullEncryption,32768,2712.0
ClassicalHuffman+FullEncryption,32768,3414.0
ClassicalHuffman+FullEncryption,32768,2711.0
ClassicalHuffman+FullEncryption,32768,2580.0
ClassicalHuffman+FullEncryption,32768,6132.0
ClassicalHuffman+FullEncryption,16384,2628.0
ClassicalHuffman+FullEncryption,16384,2364.0
ClassicalHuffman+FullEncryption,16384,2402.0
ClassicalHuffman+FullEncryption,16384,2558.0
ClassicalHuffman+FullEncryption,16384,2212.0
ClassicalHuffman+FullEncryption,16384,2460.0
ClassicalHuffman+FullEncryption,16384,2228.0
ClassicalHuffman+FullEncryption,16384,2470.0
ClassicalHuffman+FullEncryption,16384,3481.0
ClassicalHuffman+FullEncryption,16384,2307.0
ClassicalHuffman+FullEncryption,16384,2810.0
ClassicalHuffman+FullEncryption,16384,2320.0
ClassicalHuffman+FullEncryption,16384,2243.0
ClassicalHuffman+FullEncryption,16384,2594.0
ClassicalHuffman+FullEncryption,16384,2278.0
ClassicalHuffman+FullEncryption,16384,2231.0
ClassicalHuffman+FullEncryption,16384,4194.0
ClassicalHuffman+FullEncryption,16384,2416.0
ClassicalHuffman+FullEncryption,16384,4573.0
ClassicalHuffman+FullEncryption,16384,2457.0
ClassicalHuffman+FullEncryption,8192,1456.0
ClassicalHuffman+FullEncryption,8192,1543.0
ClassicalHuffman+FullEncryption,8192,1540.0
ClassicalHuffman+FullEncryption,8192,1539.0
ClassicalHuffman+FullEncryption,8192,1436.0
ClassicalHuffman+FullEncryption,8192,1537.0
ClassicalHuffman+FullEncryption,8192,1438.0
ClassicalHuffman+FullEncryption,8192,1493.0
ClassicalHuffman+FullEncryption,8192,1435.0
ClassicalHuffman+FullEncryption,8192,1538.0
ClassicalHuffman+FullEncryption,8192,1547.0
ClassicalHuffman+FullEncryption,8192,3686.0
ClassicalHuffman+FullEncryption,8192,1417.0
ClassicalHuffman+FullEncryption,8192,1457.0
ClassicalHuffman+FullEncryption,8192,1435.0
ClassicalHuffman+FullEncryption,8192,1630.0
ClassicalHuffman+FullEncryption,8192,1474.0
ClassicalHuffman+FullEncryption,8192,1585.0
ClassicalHuffman+FullEncryption,8192,1434.0
ClassicalHuffman+FullEncryption,8192,1539.0
ClassicalHuffman+FullEncryption,4096,1174.0
ClassicalHuffman+FullEncryption,4096,1453.0
ClassicalHuffman+FullEncryption,4096,2102.0
ClassicalHuffman+FullEncryption,4096,1607.0
ClassicalHuffman+FullEncryption,4096,1286.0
ClassicalHuffman+FullEncryption,4096,1230.0
ClassicalHuffman+FullEncryption,4096,1229.0
ClassicalHuffman+FullEncryption,4096,1126.0
ClassicalHuffman+FullEncryption,4096,1184.0
ClassicalHuffman+FullEncryption,4096,1167.0
ClassicalHuffman+FullEncryption,4096,1083.0
ClassicalHuffman+FullEncryption,4096,1025.0
ClassicalHuffman+FullEncryption,4096,1306.0
ClassicalHuffman+FullEncryption,4096,1231.0
ClassicalHuffman+FullEncryption,4096,1072.0
ClassicalHuffman+FullEncryption,4096,1130.0
ClassicalHuffman+FullEncryption,4096,2343.0
ClassicalHuffman+FullEncryption,4096,1633.0
ClassicalHuffman+FullEncryption,4096,1657.0
ClassicalHuffman+FullEncryption,4096,1048.0
ClassicalHuffman+FullEncryption,2048,5564.0
ClassicalHuffman+FullEncryption,2048,2151.0
ClassicalHuffman+FullEncryption,2048,2114.0
ClassicalHuffman+FullEncryption,2048,2152.0
ClassicalHuffman+FullEncryption,2048,3483.0
ClassicalHuffman+FullEncryption,2048,2154.0
ClassicalHuffman+FullEncryption,2048,2664.0
ClassicalHuffman+FullEncryption,2048,2151.0
ClassicalHuffman+FullEncryption,2048,2278.0
ClassicalHuffman+FullEncryption,2048,2048.0
ClassicalHuffman+FullEncryption,2048,2111.0
ClassicalHuffman+FullEncryption,2048,2151.0
ClassicalHuffman+FullEncryption,2048,2048.0
ClassicalHuffman+FullEncryption,2048,2726.0
ClassicalHuffman+FullEncryption,2048,2105.0
ClassicalHuffman+FullEncryption,2048,2060.0
ClassicalHuffman+FullEncryption,2048,2128.0
ClassicalHuffman+FullEncryption,2048,2067.0
ClassicalHuffman+FullEncryption,2048,2152.0
ClassicalHuffman+FullEncryption,2048,2047.0
ClassicalHuffman+FullEncryption,1024,3360.0
ClassicalHuffman+FullEncryption,1024,1989.0
ClassicalHuffman+FullEncryption,1024,2537.0
ClassicalHuffman+FullEncryption,1024,2155.0
ClassicalHuffman+FullEncryption,1024,2023.0
ClassicalHuffman+FullEncryption,1024,2322.0
ClassicalHuffman+FullEncryption,1024,2768.0
ClassicalHuffman+FullEncryption,1024,2899.0
ClassicalHuffman+FullEncryption,1024,2739.0
ClassicalHuffman+FullEncryption,1024,3190.0
ClassicalHuffman+FullEncryption,1024,1940.0
ClassicalHuffman+FullEncryption,1024,3948.0
ClassicalHuffman+FullEncryption,1024,2822.0
ClassicalHuffman+FullEncryption,1024,2384.0
ClassicalHuffman+FullEncryption,1024,2382.0
ClassicalHuffman+FullEncryption,1024,2378.0
ClassicalHuffman+FullEncryption,1024,2239.0
ClassicalHuffman+FullEncryption,1024,2294.0
ClassicalHuffman+FullEncryption,1024,3931.0
ClassicalHuffman+FullEncryption,1024,4410.0
RankedFTPFull,32768,2003.0
RankedFTPFull,32768,1876.0
RankedFTPFull,32768,1969.0
RankedFTPFull,32768,1867.0
RankedFTPFull,32768,1780.0
RankedFTPFull,32768,1837.0
RankedFTPFull,32768,1765.0
RankedFTPFull,32768,1709.0
RankedFTPFull,32768,1868.0
RankedFTPFull,32768,1860.0
RankedFTPFull,32768,1808.0
RankedFTPFull,32768,1917.0
RankedFTPFull,32768,2555.0
RankedFTPFull,32768,4219.0
RankedFTPFull,32768,2610.0
RankedFTPFull,32768,2516.0
RankedFTPFull,32768,2525.0
RankedFTPFull,32768,1859.0
RankedFTPFull,32768,2576.0
RankedFTPFull,32768,1624.0
RankedFTPFull,16384,1666.0
RankedFTPFull,16384,1489.0
RankedFTPFull,16384,1549.0
RankedFTPFull,16384,1548.0
RankedFTPFull,16384,1511.0
RankedFTPFull,16384,1550.0
RankedFTPFull,16384,1492.0
RankedFTPFull,16384,1609.0
RankedFTPFull,16384,1547.0
RankedFTPFull,16384,1548.0
RankedFTPFull,16384,1605.0
RankedFTPFull,16384,1773.0
RankedFTPFull,16384,1551.0
RankedFTPFull,16384,1547.0
RankedFTPFull,16384,1447.0
RankedFTPFull,16384,1508.0
RankedFTPFull,16384,1331.0
RankedFTPFull,16384,1500.0
RankedFTPFull,16384,2815.0
RankedFTPFull,16384,1509.0
RankedFTPFull,8192,1628.0
RankedFTPFull,8192,1534.0
RankedFTPFull,8192,1374.0
RankedFTPFull,8192,1542.0
RankedFTPFull,8192,1495.0
RankedFTPFull,8192,1462.0
RankedFTPFull,8192,1545.0
RankedFTPFull,8192,2567.0
RankedFTPFull,8192,1638.0
RankedFTPFull,8192,1491.0
RankedFTPFull,8192,1542.0
RankedFTPFull,8192,1577.0
RankedFTPFull,8192,1543.0
RankedFTPFull,8192,1557.0
RankedFTPFull,8192,1428.0
RankedFTPFull,8192,1546.0
RankedFTPFull,8192,1500.0
RankedFTPFull,8192,1542.0
RankedFTPFull,8192,1543.0
RankedFTPFull,8192,1503.0
RankedFTPFull,4096,1336.0
RankedFTPFull,4096,1155.0
RankedFTPFull,4096,1133.0
RankedFTPFull,4096,1133.0
RankedFTPFull,4096,1233.0
RankedFTPFull,4096,1539.0
RankedFTPFull,4096,1129.0
RankedFTPFull,4096,1085.0
RankedFTPFull,4096,1246.0
RankedFTPFull,4096,1130.0
RankedFTPFull,4096,1233.0
RankedFTPFull,4096,1229.0
RankedFTPFull,4096,1294.0
RankedFTPFull,4096,1071.0
RankedFTPFull,4096,1282.0
RankedFTPFull,4096,1205.0
RankedFTPFull,4096,1082.0
RankedFTPFull,4096,1398.0
RankedFTPFull,4096,1232.0
RankedFTPFull,4096,1130.0
RankedFTPFull,2048,1175.0
RankedFTPFull,2048,1240.0
RankedFTPFull,2048,1235.0
RankedFTPFull,2048,1236.0
RankedFTPFull,2048,1175.0
RankedFTPFull,2048,1131.0
RankedFTPFull,2048,1177.0
RankedFTPFull,2048,1144.0
RankedFTPFull,2048,1131.0
RankedFTPFull,2048,1335.0
RankedFTPFull,2048,1025.0
RankedFTPFull,2048,1068.0
RankedFTPFull,2048,1284.0
RankedFTPFull,2048,1127.0
RankedFTPFull,2048,1130.0
RankedFTPFull,2048,1849.0
RankedFTPFull,2048,1026.0
RankedFTPFull,2048,1198.0
RankedFTPFull,2048,1128.0
RankedFTPFull,2048,1127.0
RankedFTPFull,1024,1099.0
RankedFTPFull,1024,1069.0
RankedFTPFull,1024,1107.0
RankedFTPFull,1024,1234.0
RankedFTPFull,1024,1068.0
RankedFTPFull,1024,1035.0
RankedFTPFull,1024,986.0
RankedFTPFull,1024,1009.0
RankedFTPFull,1024,1093.0
RankedFTPFull,1024,1037.0
RankedFTPFull,1024,1175.0
RankedFTPFull,1024,1105.0
RankedFTPFull,1024,1120.0
RankedFTPFull,1024,2793.0
RankedFTPFull,1024,1221.0
RankedFTPFull,1024,1210.0
RankedFTPFull,1024,1165.0
RankedFTPFull,1024,1027.0
RankedFTPFull,1024,1109.0
RankedFTPFull,1024,1148.0






